Age,Preference,SlNo,Gender,Percent_SSC,Board_SSC,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Experience_Yrs,Entrance_Test,Percentile_ET,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA,Placement,Salary,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
Teen,Yes,19,M,79,CBSE,59,CBSE,Science,60,Science,1,MAT,67,62.14,Marketing & Finance,54,78,62,Placed,252000,DRI11,,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.668
Teen,Yes,20,M,66,Others,46,Others,Commerce,65,Management,0,PGCET,0,54.65,Marketing & Finance,53,60,65,Not Placed,0,FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224
Teen,Yes,21,M,68.4,ICSE,85.6,ISC,Commerce,72,Commerce,1,CAT,70,63.26,Marketing & Finance,75,72,57,Placed,280000,FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086
Teen,Yes,22,M,70,CBSE,76,CBSE,Commerce,68,Management,0,MAT,91.34,61.29,Marketing & Finance,63,63,75,Placed,231000,FDW12,,Regular,0.035399923,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432
Teen,Yes,23,M,59,CBSE,75,CBSE,Commerce,65,Management,0,MAT,35,62.51,Marketing & Finance,59,76,56,Placed,224000,NCB30,14.6,Low Fat,0.025698134,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672
Teen,No,24,M,63,ICSE,78,ISC,Commerce,65,Management,0,MAT,54,52.21,Marketing & Finance,53,74,50,Placed,120000,FDC37,,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876
Teen,No,25,M,50,ICSE,53,CBSE,Commerce,54,Management,1,MAT,62,60.85,Marketing & HR,57,62,72,Placed,260000,FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025
Teen,No,26,M,69,Others,75,CBSE,Commerce,49,Commerce,1,MAT,75,60.77,Marketing & Finance,61,73,62,Placed,300000,NCD06,13,Low Fat,0.099887103,Household,45.906,OUT017,2007,,Tier 2,Supermarket Type1,838.908
Teen,Yes,27,M,52,Others,54,Others,Commerce,58,Management,0,,0,51.75,Marketing & HR,53,51,50,Placed,120000,FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28
Teen,Yes,28,M,49,Others,55,Others,Science,57,Science,1,MAT,49,58.56,Marketing & Finance,50,59,55,Placed,120000,DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312
Teen,Yes,29,M,64.6,CBSE,63.4,CBSE,Commerce,76.3,Commerce,1,MAT,60,63.7,Marketing & Finance,71,69,70,Placed,250000,FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,1998,,Tier 3,Grocery Store,178.4344
Teen,No,30,F,50,CBSE,60,Others,Science,71,Management,0,MAT,62,65.04,Marketing & HR,55,61,59,Placed,180000,FDC14,,Regular,0.072221801,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362
Teen,No,31,F,74,ICSE,84,ISC,Commerce,53,Commerce,0,MAT,68,68.63,Marketing & Finance,71,86,54,Placed,218000,FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,1998,,Tier 3,Grocery Store,163.7868
Teen,Yes,32,M,58,CBSE,70,Others,Science,67.75,Engineering,1,,0,57.68,Marketing & Finance,67,74,53,Placed,360000,NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644
Teen,Yes,33,M,67,CBSE,50,CBSE,Commerce,52,Commerce,0,MAT,76,54.96,Marketing & HR,50,63,59,Placed,150000,FDP33,18.7,Low Fat,0,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064
Teen,Yes,34,F,75,Others,77,Others,Commerce,73,Management,0,MAT,48,64.19,Marketing & HR,58,57,80,Placed,250000,FDO23,17.85,Low Fat,0,Breads,93.1436,OUT045,2002,,Tier 2,Supermarket Type1,2174.5028
Teen,Yes,35,F,60,CBSE,72,CBSE,Commerce,65,Management,1,MAT,72,64.66,Marketing & Finance,57,74,81,Placed,200000,DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856
Teen,Yes,36,M,55,CBSE,61.2,CBSE,Commerce,59.6,Management,1,MAT,60,62.54,Marketing & Finance,67,66,58,Placed,300000,NCX29,10,Low Fat,0.089291137,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652
Teen,Yes,37,M,78,Others,52,ISC,Science,66,Management,1,K-MAT,79,52.41,Marketing & IB,53,57,54,Placed,330000,FDV20,,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916
Teen,Yes,38,M,50.08,Others,48.5,Others,Commerce,51.61,Commerce,1,PGCET,0,56.61,Marketing & HR,50,71,59,Placed,265000,DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044
Teen,Yes,39,M,56,Others,54,Others,Science,59,Management,0,CAT,70,61.83,Marketing & HR,54,71,68,Placed,340000,FDX10,,Regular,0.123111453,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614
Teen,Yes,40,F,60,CBSE,75,CBSE,Commerce,68,Commerce,1,MAT,60,67.28,Marketing & Finance,58,71,65,Not Placed,0,FDB34,,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495
Teen,Yes,41,F,68,CBSE,74,CBSE,Commerce,70,Management,2,MAT,68,64.08,Marketing & HR,63,79,77,Placed,177600,FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
Teen,Yes,42,F,40,CBSE,40,Others,Commerce,51,Management,0,PGCET,49,51.75,Marketing & Finance,50,59,53,Not Placed,0,FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534
Adult,Yes,43,M,77.12,Others,85,Others,Commerce,56.77,Management,0,CAT,35,56.34,Marketing & IB,56,66,58,Not Placed,0,FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768
Adult,Yes,44,M,52,Others,62,Others,Arts,66,Management,1,MAT,50.48,77.89,Marketing & Finance,82,80,68,Placed,236000,FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228
Adult,Yes,45,M,54,Others,60,Others,Commerce,60,Commerce,0,MAT,50,56.7,Marketing & HR,55,69,59,Placed,265000,FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138
Adult,Yes,46,M,52,CBSE,51,Others,Science,62,Management,1,,0,57.74,Marketing & HR,58,64,52,Placed,200000,FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,1998,,Tier 3,Grocery Store,358.2004
Adult,Yes,47,F,76,Others,73,Others,Commerce,83,Commerce,0,MAT,95,69.06,Marketing & Finance,78,73,80,Placed,393000,NCP05,19.6,Low Fat,0,Health and Hygiene,153.3024,OUT045,2002,,Tier 2,Supermarket Type1,2428.8384
Adult,Yes,48,F,64.8,Others,52.8,Others,Science,68.23,Engineering,0,MAT,55.53,68.81,Marketing & IB,68,63,60,Placed,360000,FDV49,10,Low Fat,0.025879577,Canned,265.2226,OUT045,2002,,Tier 2,Supermarket Type1,5815.0972
Adult,Yes,49,F,74.4,Others,52,Others,Science,58.74,Science,1,MAT,92,63.62,Marketing & Finance,62,87,73,Placed,300000,FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646
Adult,Yes,50,M,74.5,CBSE,58,CBSE,Science,58,Management,0,,0,53.42,Marketing & IB,56,60,56,Placed,250000,FDS02,,Regular,0.255394896,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176
Adult,Yes,51,M,73.5,Others,94.7,Others,Science,76.86,Engineering,0,MAT,97.4,74.01,Marketing & Finance,60,69,82,Placed,360000,NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864
Adult,No,52,F,57.58,Others,59.6,CBSE,Commerce,50.2,Commerce,1,MAT,76,65.33,Marketing & Finance,65,75,69,Placed,180000,FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924
Adult,No,53,F,68,CBSE,69,CBSE,Commerce,40,Commerce,0,MAT,74,62.8,Marketing & HR,55,59,82,Placed,180000,FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444
Adult,No,54,M,69,Others,51,Others,Science,59,Management,1,,0,58.53,Marketing & HR,53,66,55,Placed,270000,FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,,Tier 2,Supermarket Type1,3121.2704
Adult,No,55,M,66,Others,76,Others,Commerce,60,Management,1,MAT,94,57.55,Marketing & Finance,51,60,71,Placed,240000,NCP18,12.15,Low Fat,0.028760013,Household,151.4708,OUT017,2007,,Tier 2,Supermarket Type1,4815.0656
Adult,No,56,M,60.8,Others,71.83,Others,Commerce,62.41,Commerce,0,CAT,41.38,60.76,Marketing & Finance,53,73,78,Placed,300000,FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52
Adult,No,57,M,58,Others,62,Others,Commerce,62,Management,0,MAT,68,57.69,Marketing & HR,54,70,58,Placed,265000,NCX54,9.195,Low Fat,0.048157338,Household,106.1622,OUT045,2002,,Tier 2,Supermarket Type1,2117.244
Adult,No,58,M,73.76,Others,73.5,Others,Commerce,63.5,Management,2,MAT,73.35,64.15,Marketing & Finance,68,78,65,Placed,350000,DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626
Adult,No,59,M,70,CBSE,75,CBSE,Commerce,60,Commerce,0,MAT,77,51.29,Marketing & Finance,60,56,52,Not Placed,0,FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275
Adult,No,60,F,59,CBSE,68.5,CBSE,Commerce,69,Management,0,MAT,52,56.7,Marketing & HR,58,63,50,Placed,250000,FDI26,,Low Fat,0.061082177,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172
Adult,No,61,F,75,CBSE,58,CBSE,Science,69,Science,0,MAT,64,58.32,Marketing & HR,62,64,50,Placed,180000,FDM20,10,Low Fat,0,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872
Adult,No,62,F,56,ICSE,78,ISC,Commerce,62.4,Management,0,MAT,50.89,62.21,Marketing & HR,57,70,60,Placed,278000,FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,2002,,Tier 2,Supermarket Type1,1062.6168
Adult,No,63,M,52,CBSE,57,CBSE,Commerce,47,Management,1,MAT,83,57.61,Marketing & Finance,50,74,74,Placed,150000,FDF09,,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024
Adult,No,64,M,53,Others,55,Others,Commerce,42,Commerce,0,,0,52.56,Marketing & Finance,50,73,50,Not Placed,0,FDY40,,Regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076
Adult,No,65,F,84,Others,60,Others,Science,79,Management,1,MAT,88,72.78,Marketing & Finance,73,83,77,Placed,260000,FDY45,,Low Fat,0.026015519,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356
Adult,No,66,M,67,Others,54,Others,Science,54,Arts,1,MAT,68.44,62.77,Marketing & HR,59,68,60,Placed,180000,FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,1998,,Tier 3,Grocery Store,184.4266
Adult,No,67,F,64,CBSE,75,CBSE,Commerce,70,Commerce,0,MAT,71,62.74,Marketing & HR,63,71,62,Placed,300000,FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664
Adult,No,68,M,54,CBSE,47,CBSE,Commerce,59,Management,0,MAT,64,51.45,Marketing & Finance,64,63,56,Not Placed,0,FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,2002,,Tier 2,Supermarket Type1,1118.544
Adult,Yes,69,M,82.6,CBSE,64,CBSE,Science,56,Management,1,PGCET,0,68.85,Marketing & Finance,71,76,60,Placed,400000,DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,,Tier 2,Supermarket Type1,2302.3364
Adult,Yes,70,F,76,CBSE,73,CBSE,Science,59.6,Engineering,0,MAT,58,55.47,Marketing & HR,58,59,58,Placed,320000,NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361
Adult,Yes,71,F,70,Others,50,Others,Science,60,Management,0,MAT,53.7,56.86,Marketing & HR,53,63,56,Placed,240000,FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
Adult,Yes,72,M,78,Others,63,Others,Science,58,Engineering,0,MAT,93,62.56,Marketing & Finance,58,67,70,Placed,411000,FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22
Senior Citizen,No,73,F,75,ICSE,74,Others,Commerce,78,Commerce,0,MAT,60,66.72,Marketing & Finance,71,69,67,Placed,287000,FDH35,18.25,Low Fat,0,Starchy Foods,164.7526,OUT045,2002,,Tier 2,Supermarket Type1,4604.6728
Senior Citizen,No,74,F,82,Others,68.16,Others,Commerce,71,Management,2,MAT,65,69.76,Marketing & HR,67,70,79,Placed,198000,FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,2007,,Tier 2,Supermarket Type1,2285.0256
Senior Citizen,Yes,75,M,52,Others,42,CBSE,Science,69,Others,0,MAT,63,51.21,Marketing & Finance,51,50,50,Not Placed,0,NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356
Senior Citizen,Yes,76,M,84,Others,84,Others,Commerce,64,Commerce,0,MAT,95,62.9,Marketing & HR,68,59,72,Placed,300000,FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352
Senior Citizen,No,77,F,74,Others,68,Others,Commerce,79,Management,1,MAT,89,69.7,Marketing & Finance,68,77,76,Placed,200000,FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954
Senior Citizen,No,78,F,84,CBSE,72,CBSE,Science,78,Science,0,MAT,58,66.53,Marketing & HR,71,58,50,Placed,180000,FDN48,,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628
Senior Citizen,No,79,F,78.89,Others,79.98,Others,Science,71.6,Management,0,MAT,68,71.63,Marketing & HR,71,76,64,Not Placed,0,FDL04,19,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,2007,,Tier 2,Supermarket Type1,1587.933
Senior Citizen,No,80,M,55,ICSE,52,ISC,Commerce,51,Management,1,MAT,78,54.55,Marketing & Finance,50,75,51,Placed,204000,FDV25,5.905,Low Fat,0,Canned,222.5456,OUT045,2002,,Tier 2,Supermarket Type1,5305.0944
Senior Citizen,No,81,M,58,Others,54,Others,Commerce,64,Management,0,MAT,64,62.46,Marketing & Finance,50,71,60,Placed,250000,FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79
Senior Citizen,No,82,F,53,Others,40,Others,Arts,54,Arts,1,MAT,65,56.11,Marketing & HR,54,66,75,Not Placed,0,FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752
Senior Citizen,No,83,F,72.2,CBSE,70.2,CBSE,Science,64.4,Management,0,MAT,65,62.98,Marketing & HR,52,58,75,Placed,200000,FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89
Senior Citizen,Yes,84,M,56.4,Others,66.83,Others,Commerce,48.42,Commerce,0,MAT,97.33,62.27,Marketing & Finance,72,80,65,Placed,275000,NCL18,,Low Fat,0.293417759,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408
Senior Citizen,Yes,85,M,59.4,CBSE,66.12,CBSE,Commerce,58.2,Management,0,MAT,67,62.65,Marketing & HR,54,65,53,Placed,192000,FDR12,,Regular,0.031382044,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752
Senior Citizen,No,86,F,46,CBSE,62,CBSE,Commerce,58,Management,0,,0,57.83,Marketing & Finance,54,78,65,Placed,240000,FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,,Tier 2,Supermarket Type1,2479.4392
Senior Citizen,Yes,87,F,65,CBSE,78,Others,Commerce,75,Commerce,1,CAT,53,60.91,Marketing & Finance,56,73,69,Placed,300000,FDZ55,6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464
Senior Citizen,Yes,88,M,75,Others,65,Others,Science,59,Computer Applications,1,,0,56.19,Marketing & Finance,57,50,71,Not Placed,0,FDQ49,,Regular,0.039057677,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723
Senior Citizen,Yes,89,F,43.89,Others,48.83,Others,Commerce,55,Commerce,2,MAT,71.2,65.49,Marketing & HR,66,74,53,Not Placed,0,FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052
Senior Citizen,Yes,90,M,77,Others,65,Others,Science,70,Science,0,MAT,87,71.04,Marketing & HR,70,73,84,Placed,450000,FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504
Senior Citizen,Yes,91,F,71,ICSE,52,Others,Science,65,Management,0,MAT,78,65.56,Marketing & HR,66,84,77,Placed,216000,FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,1998,,Tier 3,Grocery Store,369.519
Senior Citizen,Yes,92,M,55.4,CBSE,61.6,Others,Science,59,Management,0,MAT,71,52.71,Marketing & HR,56,67,52,Placed,220000,DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346
Senior Citizen,Yes,93,M,58,ICSE,59,ISC,Commerce,56,Management,0,,0,55.1,Marketing & Finance,50,57,50,Placed,216000,DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,2002,,Tier 2,Supermarket Type1,1381.535
Senior Citizen,Yes,94,M,40.5,Others,60.14,Others,Commerce,52.37,Commerce,1,MAT,42.26,61.31,Marketing & Finance,56,64,61,Not Placed,0,FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523
Senior Citizen,No,95,M,68,Others,68,Others,Science,70,Engineering,0,CAT,68,67.31,Marketing & Finance,53,76,78,Placed,300000,NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412
Senior Citizen,No,96,M,55,Others,66.4,Others,Commerce,55.4,Commerce,0,MAT,68,66.88,Marketing & Finance,55,70,62,Placed,240000,FDU04,,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656
Senior Citizen,No,97,M,63,ICSE,73,ISC,Commerce,72,Commerce,0,MAT,80,63.59,Marketing & Finance,60,72,58,Placed,360000,FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73
Senior Citizen,No,98,M,58,ICSE,78,ISC,Commerce,63,Commerce,0,,0,60.29,Marketing & Finance,54,62,53,Not Placed,0,FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112
Senior Citizen,No,99,M,69,CBSE,54,Others,Science,64,Management,0,MAT,74,57.99,Marketing & Finance,50,66,60,Placed,268000,NCP18,,Low Fat,0.028459761,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532
,,100,F,50,CBSE,69,CBSE,Commerce,42,Arts,0,,0,56.45,Marketing & HR,50,72,57,Not Placed,0,FDB56,8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892
,,101,M,44.6,CBSE,60.58,Others,Science,68.11,Computer Applications,0,MAT,57.6,56.66,Marketing & Finance,54,63,62,Placed,265000,FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,2002,,Tier 2,Supermarket Type1,1805.6496
,,102,M,69,CBSE,65,CBSE,Science,68,Management,1,MAT,60,57.24,Marketing & Finance,50,67,51,Placed,260000,FDD10,,Regular,0.045797829,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504
